,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
5,0,0,0.019097745,0.013506777,0.012844812,0.019151432,0.029527559,0.015752993,0.016534392,0.015042118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0.026093265,0.029214084,0.035408537,0.031018958,0.02753181,0.019012609,0.033158279,0.030578323,0.039516632,0.01603719,0.019180806,0.030609051,0.026133541,0.023570923,0.025110956,0.015780048,0.014092889,0.013823049,0.013781484,0.02030156,0.030637255,0.029291154,0.028785262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.023536088,0.027333722,0.024068804,0.034231799,0.030970923,0.018513925,0.027446364,0.033245803,0.057510239,0.01335945,0.024830172,0.028192133,0.034720949,0.021197255,0.034801446,0.03451956,0.032952345,0.03026095,0.067322078,0.040299856,0.025245978,0.037478051,0.027454274,0.053301874,0.040705958,0.059679013,0.050091999,0.011767342,0.012391635,0.024727992,0.012363996,0.026709402,0.025680534,0.013354701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0.039786233,0.03760029,0.024258546,0.042577707,0.024207635,0.022181305,0.01629717,0.035591027,0.048722566,0.033340884,0.030285863,0.037025829,0.0244189,0.022056543,0.03919419,0.037193458,0.036711226,0.033522376,0.031537636,0.034778278,0.024539907,0.02697784,0.02036893,0.021172961,0.022488698,0.052823619,0.047577767,0.03874408,0.042088697,0.045746927,0.033187627,0.044696761,0.035190944,0.031495861,0.038123929,0.033984335,0.023104799,0.032997406,0.025630708,0.025965466,0.018570317,0.013849079,0.020859408,0.068569164,0,0,0,0,0
7,0,0,0.042088381,0.071663287,0.034902881,0.059652058,0.04532085,0.058509313,0.038223827,0.033851853,0.07029926,0.013343126,0.048254633,0.071423063,0.047337792,0.013963227,0.022773335,0.031391331,0.054455306,0.016501566,0.044652255,0.056637556,0.0463673,0.037027862,0.036760506,0.052296454,0.04018204,0.034886225,0.077869409,0.013949663,0.021786492,0.019646049,0.019707555,0.038162571,0.042740898,0.043367741,0.045965541,0.029411181,0.024953057,0.044348112,0.041373771,0.03799652,0.050346306,0.043158768,0.052943555,0.099030002,0.031017951,0.033727305,0.008749962,0,0
7.5,0,0,0.050292202,0.101590815,0.087042229,0.045982058,0.075575734,0.058472893,0.048890427,0.053348332,0.089648922,0.02919838,0.097901761,0.082417168,0.071854818,0.063349706,0.093917176,0.087575146,0.054230349,0.04493031,0.065298495,0.039682534,0.07194855,0.036741772,0.020236257,0.040013228,0.036520358,0.046863902,0.043216457,0.038447432,0.051962721,0.068061045,0.043510535,0.083943349,0.094083568,0.055367983,0.031932185,0.030931003,0.028146834,0.034351192,0.026630057,0.018832392,0.034640022,0.024522393,0.015457472,0.065012312,0.076821831,0.036939098,0.0079028,0,0
8,0,0,0.049733049,0.071533602,0.043448359,0.081286055,0.069657183,0.043677965,0.043844434,0.03979268,0.127111386,0.033578593,0.09352869,0.074335588,0.084992506,0.094364276,0.078629668,0.049550736,0.100782744,0.058093125,0.098137272,0.064398902,0.083892485,0.067043657,0.08492441,0.096116744,0.027119004,0.027667157,0.070551172,0.03428322,0.013462591,0.018966666,0.019240838,0.061386516,0.050434379,0.070894116,0.051385853,0.051447229,0.056627251,0.069311747,0.054385819,0.034655904,0.048685318,0.033127679,0.030517849,0.052829886,0.080987966,0.021299695,0.007011318,0,0
8.5,0,0,0.024525611,0.035782176,0.022747487,0.075434109,0.047555235,0.043876235,0.033643519,0.118869841,0.107543512,0.055941754,0.065114438,0.099062749,0.116922752,0.060971702,0.040581134,0.088404455,0.109631129,0.089407987,0.10761744,0.09390987,0.058909069,0.075825378,0.08646157,0.079591431,0.061075436,0.054397527,0.125302988,0.025367496,0.025480038,0.044139797,0.022285623,0.02935003,0.021840274,0.020754304,0.080423783,0.032301725,0.020816271,0.073447333,0.021829528,0.068455532,0.065749715,0.056542652,0.018672379,0.036037079,0.069127004,0.045481571,0.019630624,0,0
9,0,0,0.017899401,0.030878828,0.029530088,0.038887552,0.026523126,0.019854981,0.023500029,0.048270597,0.070202823,0.012214057,0.029874433,0.029209731,0.056803716,0.073434621,0.07668948,0.057155258,0.101834578,0.070918362,0.09652199,0.079656829,0.080211041,0.11573835,0.059173878,0.076654741,0.052416247,0.076344234,0.088476536,0.071844856,0.027238439,0.038923831,0.041936611,0.090462117,0.090641096,0.063943814,0.05235819,0.061534187,0.077074649,0.088524423,0.059516303,0.077135177,0.085682094,0.019680197,0.061013668,0.06940914,0.066941911,0.049091164,0.008607032,0,0
9.5,0,0,0.01978663,0.031032694,0.026505851,0.023670404,0.033052567,0.019337113,0.024348384,0.039227268,0.042479549,0.015178862,0.030216872,0.02201412,0.040168801,0.02109997,0.034684479,0.041507445,0.047988294,0.025005741,0.033256482,0.038120958,0.025031222,0.029380641,0.017941244,0.073365089,0.048240057,0.105404337,0.084963042,0.075137454,0.052293634,0.051305088,0.073895122,0.089975457,0.072153008,0.039236866,0.064365559,0.064604391,0.082575938,0.061641372,0.069531273,0.074083269,0.059802036,0.062472256,0.070597966,0.073002199,0.094526525,0.019382406,0.011150845,0,0
