,发车时间,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
0,07:48:35,,,8.78,5.64,4.36,8.92,,13.84,,13.12,11.96,,,12.3,4.25,3.74,4.26,9.28,5.45,1.87,2.34,6.08,4.07,6.21,9.58,8.66,2.05,3.44,5.75,8.18,4.95,8.2,9.43,,9.72,8.3,11.44,9.21,7.67,12.44,11.52,10.03,9.99,9.8,13.19,9.2,9.38,5.7,8.96,3.38,
1,18:03:32,,,8.51,,7.56,7.9,4.13,5.76,,1.95,6.96,6.06,,11.78,7.81,9.08,6.41,8.79,3.07,3.1,4.19,7.91,4.79,1.79,7.53,1.95,1.45,2.12,2.42,5.06,2.35,10.84,12.39,1.64,14.27,,11.88,10.38,15.04,9.18,14.7,13.37,11.72,13.05,10.06,12.78,14.57,11.9,12.64,3.29,
2,17:56:49,,,10.63,9.11,5.78,5.34,3.33,5.32,,4.3,5.54,5.85,,8.8,9.31,5.66,4.36,7.07,2.87,,5.02,6.61,2.59,1.46,4.34,2.24,1.89,8.26,3.26,3.69,2.93,10.55,12.95,5.7,10.47,9.32,12.69,11.76,10.23,11.2,12.85,11.8,10.37,14.17,9.84,13.3,14.93,12.32,12.57,4.86,
3,21:33:04,,,10.81,9.11,,9.81,,6.89,,8.08,9.26,3.75,,12.74,11.64,9.08,9.93,5.66,3.35,,5.85,9.16,3.27,8.67,10.77,12.94,2.74,4.66,3.54,6.0,6.45,10.25,11.25,4.28,12.15,8.58,10.06,10.38,10.6,11.2,11.33,10.03,11.72,11.85,7.52,10.48,10.09,9.2,9.15,6.76,2.83
4,07:02:44,,,8.45,8.8,4.81,7.81,4.63,5.6,,1.56,5.83,4.05,,11.66,8.23,8.56,8.32,5.38,3.58,2.5,4.94,7.24,3.47,7.03,8.27,8.79,1.99,2.01,4.65,5.66,2.77,10.25,10.12,2.49,8.81,6.64,10.96,7.35,8.09,6.88,11.52,9.47,9.07,8.93,8.25,7.51,5.46,4.11,4.74,2.33,3.24
5,10:05:25,,,9.11,12.81,9.48,6.34,7.4,7.68,,2.01,5.82,2.81,,14.28,12.34,7.06,7.29,7.49,7.07,,6.17,6.95,4.44,7.76,8.09,8.87,1.96,2.87,1.79,6.39,4.34,9.7,9.57,2.73,11.63,12.02,12.55,15.11,11.36,13.76,12.76,11.92,12.96,11.98,9.09,11.72,11.95,9.32,12.2,2.33,0.72
6,13:28:20,,,7.55,7.69,6.02,10.31,4.71,7.28,,1.68,6.34,8.04,,11.87,9.24,6.5,5.34,12.06,2.63,,5.99,9.16,4.68,3.32,2.43,3.52,2.62,5.33,3.19,3.89,6.45,8.32,10.44,,8.73,10.62,12.87,11.9,10.79,9.89,13.37,11.84,12.09,8.07,10.76,11.5,15.69,9.87,9.79,4.16,
7,16:50:43,,,8.5,10.09,9.2,8.09,4.95,5.36,,1.85,6.55,5.36,,13.76,7.96,5.39,4.53,7.73,2.86,1.87,5.85,6.27,5.59,4.26,6.31,8.35,1.53,0.43,0.67,5.0,8.04,7.53,11.25,5.44,10.12,9.08,13.44,12.8,9.09,10.7,13.37,12.44,9.6,12.77,9.06,11.96,14.6,12.37,12.13,6.77,
8,20:04:04,,,8.5,8.89,10.23,10.6,2.77,6.04,,2.22,6.34,4.78,,14.85,12.45,5.94,14.12,12.28,3.9,2.07,4.68,6.79,3.17,9.53,6.52,8.03,2.52,2.07,2.86,4.54,2.85,9.7,11.05,1.91,11.37,11.46,13.24,11.9,9.84,13.76,12.59,12.34,14.68,12.48,8.44,10.02,10.48,10.67,10.25,5.87,0.59
9,05:02:06,,,9.38,12.57,7.04,10.44,9.51,7.28,,1.88,13.41,,,13.18,9.87,,10.85,9.12,6.87,2.22,5.85,9.92,7.98,8.34,9.82,11.69,1.81,7.24,8.34,4.0,,9.84,12.57,2.49,11.52,6.05,9.93,10.96,11.93,11.7,10.79,10.29,11.91,10.82,8.96,8.73,6.19,4.61,7.24,3.38,4.91
10,07:41:49,,,7.61,7.51,4.11,8.09,5.49,5.32,,3.76,10.32,3.19,,10.47,4.6,4.16,5.37,6.1,2.42,,2.79,5.81,2.6,7.11,8.09,6.21,2.94,3.1,3.4,5.43,5.42,9.84,9.71,,10.58,11.46,10.2,11.73,11.53,8.81,11.01,10.77,6.91,7.66,8.96,10.17,6.69,4.81,5.83,2.01,0.52
