,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
5,0,0,0.014615675,0.021169221,0.018558622,0.021852947,0.023130495,0.01700019,0.01747765,0.020131416,0.02080746,0.005944989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0.020210963,0.028711219,0.024254427,0.031021269,0.025245588,0.01818163,0.020195983,0.026953042,0.029358168,0.023332336,0.027361383,0.034227286,0.022342604,0.017608223,0.025224114,0.021588695,0.017920712,0.01813631,0.019152593,0.021671793,0.030801502,0.030549395,0.026539354,0.01514106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.027084154,0.037246416,0.023384179,0.041868795,0.030599042,0.023044449,0.026109792,0.033545598,0.035269005,0.025067984,0.0319518,0.032922961,0.030216137,0.025268939,0.032301624,0.030608549,0.02827269,0.026946617,0.042151048,0.02787338,0.027788277,0.027111915,0.024687825,0.037381762,0.027043286,0.035680917,0.02714117,0.022792057,0.021389252,0.018569571,0.025079936,0.026383251,0.030842802,0.023259988,0.013428731,0.011536872,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.03500209,0.045663631,0.028054711,0.052178176,0.040914611,0.034698581,0.026773784,0.046589601,0.049662515,0.035135572,0.038031981,0.042021961,0.033560752,0.026615093,0.036846993,0.036373549,0.037239869,0.034923603,0.043465096,0.04520149,0.037110761,0.044623986,0.041456889,0.038883563,0.033035593,0.037220531,0.030236656,0.037086043,0.032920732,0.029694307,0.035028915,0.031841655,0.041456497,0.034475443,0.033375661,0.03345744,0.026763363,0.03549167,0.035048508,0.029552335,0.024582861,0.020780373,0.02202072,0.066927555,0.024826203,0.018271522,0,0,0
7,0,0,0.045534442,0.058997573,0.043409118,0.050435061,0.046686438,0.037545038,0.048271305,0.056230431,0.055179995,0.04729042,0.041847673,0.05566785,0.054788776,0.035463939,0.042160413,0.044629049,0.04509019,0.032884883,0.064075273,0.05312522,0.048496826,0.037411286,0.036352557,0.050573897,0.031811156,0.055264164,0.043232835,0.037430592,0.035162185,0.038316869,0.044460828,0.039821412,0.040678617,0.041067883,0.042664026,0.039260168,0.033742762,0.044181868,0.039211257,0.033141223,0.042388479,0.031592123,0.024757529,0.051444722,0.041584975,0.024971072,0.016869206,0,0
7,0,0,0.048806986,0.075109652,0.067094519,0.069704254,0.072763116,0.044414053,0.049287117,0.059416461,0.060722804,0.056709153,0.078232716,0.085495573,0.079775776,0.054268012,0.059812794,0.055852185,0.056537167,0.054389299,0.085511371,0.060765086,0.073457156,0.053275431,0.050664802,0.06004035,0.042233688,0.063473433,0.053280527,0.054634146,0.03339423,0.050017082,0.046861579,0.046301896,0.061900885,0.049654653,0.036928875,0.039727562,0.033727789,0.038697667,0.033179322,0.029104677,0.039116702,0.026126506,0.028741649,0.064344127,0.05211287,0.032395245,0.011392246,0,0
8,0,0,0.041492125,0.060158715,0.042243463,0.067758132,0.064670108,0.045425055,0.043983586,0.078800008,0.068013529,0.053076929,0.071504398,0.073426645,0.072626398,0.054634363,0.073404386,0.076146884,0.069914045,0.065915097,0.075734699,0.072478683,0.075406803,0.074608595,0.064130513,0.082382892,0.047757415,0.058453365,0.058927562,0.069406548,0.050551624,0.035136238,0.063758078,0.04953173,0.062821348,0.059090249,0.060547327,0.060635055,0.049782165,0.052110819,0.046637429,0.045794604,0.042549062,0.038548723,0.037068307,0.073496995,0.051799265,0.024000423,0.010045533,0,0
8,0,0,0.024746306,0.033897777,0.025087398,0.066185227,0.054004671,0.038350905,0.035859058,0.086872754,0.068032804,0.053973252,0.061892041,0.070860001,0.087595064,0.050276142,0.054447806,0.06481641,0.078758539,0.060513385,0.100106335,0.06949615,0.083536789,0.061635443,0.063470909,0.089978395,0.05634414,0.084042212,0.060729088,0.075919408,0.040498109,0.049858151,0.058506217,0.051049682,0.072588972,0.058156525,0.06464971,0.062955113,0.043083865,0.061265659,0.055902811,0.04625775,0.053729806,0.04781902,0.038369495,0.054122779,0.077231427,0.062746925,0.027400775,0,0
9,0,0,0.0211626,0.034307303,0.019275395,0.038960502,0.030955716,0.023506258,0.020287017,0.040356646,0.039176813,0.027461389,0.03264557,0.041309197,0.048724097,0.041147364,0.059635334,0.056642242,0.065795348,0.052585611,0.086109703,0.062626628,0.080001189,0.071074034,0.058364844,0.088185716,0.063212198,0.074493915,0.073419023,0.077183144,0.04237983,0.05782102,0.063550064,0.049324393,0.075420787,0.058944922,0.065847286,0.062005964,0.055531586,0.057215571,0.064788471,0.068587669,0.069422816,0.047989577,0.05026813,0.060988141,0.070338844,0.048150144,0.029600096,0,0
9,0,0,0.020804377,0.027249449,0.022348649,0.036932957,0.030930003,0.020842763,0.024154614,0.040614126,0.042633981,0.028667132,0.025117606,0.026770007,0.033317609,0.024486255,0.034011267,0.036197359,0.047746365,0.031952717,0.048963384,0.051670179,0.059622872,0.047689795,0.044390456,0.065740875,0.048954767,0.067682663,0.068041714,0.085384404,0.055172106,0.057442353,0.068927666,0.051301554,0.0796703,0.055861754,0.066086495,0.063465122,0.063707132,0.074298509,0.067752526,0.067698231,0.064055674,0.07224609,0.058942556,0.070675706,0.067574068,0.04502606,0.037590341,0,0
