,NoControl,MinimumHeadway(Baseline_1),QuadraticEberlein(Baseline_2),He(Baseline_3),AtStationControl,InterStationControl,JointControl
1,217.83,166.38,218.40,147.22,138.61,136.41,136.33
2,212.35,170.61,208.24,145.06,137.31,138.11,135.44
3,219.70,167.22,212.46,143.62,137.55,139.35,134.89
4,215.24,168.34,212.91,146.99,136.94,137.01,136.74
5,220.83,166.77,208.30,147.21,139.08,139.26,137.00
6,210.90,168.10,214.36,148.42,136.60,136.89,135.03
7,219.45,170.02,212.11,148.87,137.00,135.75,135.61
8,212.59,167.69,213.92,148.04,139.09,137.22,135.99
9,217.77,167.26,208.80,147.39,138.21,136.14,135.89
10,226.44,165.67,215.75,146.61,137.70,136.93,136.58
11,218.17,167.12,216.95,146.67,137.70,135.96,136.42
12,218.17,169.10,213.21,146.82,137.03,137.67,134.94
13,222.99,168.07,210.87,145.58,137.22,138.92,137.01
14,216.59,166.70,215.01,149.23,137.52,135.90,134.90
15,220.38,169.28,207.06,147.63,136.61,136.35,136.67
16,220.37,169.38,211.12,144.47,136.79,137.47,135.07
17,210.90,169.55,211.86,145.15,137.36,137.87,135.90
18,218.13,169.28,219.44,144.18,137.84,137.40,134.37
19,221.80,169.20,211.03,144.35,137.52,137.51,135.58
20,217.29,170.18,208.89,144.43,138.40,137.40,134.98
21,215.29,169.93,209.42,143.26,138.43,138.98,135.83
22,223.26,168.77,214.14,147.85,136.36,138.28,136.12
23,218.44,168.40,212.97,146.17,137.66,138.82,137.40
24,216.43,166.77,215.62,144.86,138.35,136.78,135.43
25,212.31,168.33,215.57,144.71,136.08,136.68,136.31
26,220.56,166.61,214.65,142.37,137.34,137.50,134.51
27,222.65,168.77,210.53,146.69,138.02,137.47,135.87
28,217.22,165.57,212.79,143.51,137.05,138.04,135.73
29,220.04,167.70,219.30,144.20,137.35,137.22,135.74
30,218.52,167.41,209.63,145.94,136.15,136.70,135.67
31,216.46,165.53,213.91,146.02,139.06,137.96,135.42
32,213.84,166.44,213.68,146.57,137.17,139.54,134.75
33,213.25,168.75,215.14,146.63,137.41,137.43,135.72
34,213.61,168.88,214.32,143.90,136.90,138.63,137.22
35,219.27,167.70,215.41,143.51,138.21,138.02,134.94
36,220.75,165.84,219.16,143.46,137.01,135.87,136.80
37,223.67,166.18,223.42,144.62,137.99,136.95,134.87
38,221.23,168.31,211.84,147.89,138.27,136.62,135.28
39,217.16,168.07,212.65,144.40,137.46,138.12,136.09
40,212.63,166.21,210.41,146.16,137.26,136.12,134.92
41,217.08,168.15,212.11,143.73,136.79,139.12,135.80
42,213.53,169.76,212.61,147.39,136.23,137.12,134.94
43,216.47,169.30,215.98,143.42,136.20,139.63,136.42
44,215.56,166.55,214.84,143.24,137.40,136.84,136.56
45,217.17,169.10,214.27,142.42,138.33,137.55,135.91
46,224.65,169.41,214.87,147.09,137.35,137.33,134.58
47,225.35,167.11,210.29,143.83,137.90,139.04,133.68
48,220.55,165.95,215.69,146.85,136.30,137.13,134.37
49,214.31,168.37,211.76,145.36,139.46,136.02,134.03
50,214.71,167.39,210.28,147.80,137.07,135.88,135.75
51,215.34,165.73,207.20,146.55,138.26,135.31,136.80
52,215.60,169.19,210.92,143.37,136.76,138.15,134.83
53,214.60,167.98,213.44,145.25,136.38,136.32,136.29
54,219.23,167.21,215.87,145.52,137.52,136.16,136.32
55,218.61,164.22,212.67,144.75,138.34,136.86,135.10
56,219.43,167.64,212.77,143.37,136.27,139.79,134.74
57,225.67,167.22,215.36,144.50,136.83,139.68,137.43
58,222.81,167.89,215.01,142.54,139.26,136.12,134.30
59,222.27,168.20,215.95,147.81,136.63,137.28,136.83
60,217.39,168.35,213.56,143.82,138.97,137.04,135.55
61,222.89,166.22,216.82,144.25,137.41,138.34,136.35
62,219.69,169.64,208.34,142.96,136.74,136.33,136.65
63,222.27,169.77,223.74,143.59,137.27,136.72,136.47
64,216.44,171.35,213.46,144.26,137.55,138.03,136.98
65,217.24,166.46,213.11,148.40,138.83,138.58,136.34
66,212.81,167.28,210.30,144.53,136.48,138.50,134.61
67,212.54,168.44,213.21,147.40,136.69,136.05,136.42
68,224.95,167.84,209.92,144.38,136.53,136.24,135.36
69,210.89,168.53,210.44,145.21,139.08,138.14,135.76
70,222.46,168.80,212.93,147.02,136.16,137.74,136.38
71,226.57,168.55,210.99,146.83,136.40,135.83,135.94
72,218.79,168.11,211.22,144.75,137.84,139.07,135.12
73,220.15,167.63,208.16,146.36,137.50,136.38,136.99
74,215.21,169.37,213.09,146.03,136.86,138.86,136.66
75,216.56,167.98,213.23,147.46,136.45,137.35,137.83
76,218.52,169.43,210.84,143.42,136.57,136.74,137.81
77,214.72,169.01,210.32,144.58,137.48,137.83,135.14
78,219.03,165.58,205.94,141.86,136.27,136.23,136.09
79,221.75,168.16,210.38,144.74,139.01,137.05,136.38
80,220.49,169.71,215.89,144.23,136.87,137.16,134.60
81,220.12,170.12,213.11,144.93,139.16,136.77,134.84
82,216.13,168.07,212.81,144.49,137.32,138.09,135.12
83,219.26,168.30,213.31,148.72,136.48,138.66,137.40
84,221.51,168.28,215.06,144.01,137.02,140.20,134.23
85,220.05,168.06,206.49,146.58,137.76,137.30,134.65
86,213.47,168.78,210.92,143.50,136.33,137.16,135.28
87,218.37,166.47,213.47,149.16,136.59,138.24,136.25
88,216.36,167.05,216.50,142.05,136.61,136.88,138.05
89,220.72,166.84,217.67,145.62,137.65,137.20,135.44
90,218.10,168.85,213.82,145.21,136.25,137.68,135.71
91,215.81,168.75,211.99,141.77,139.03,138.46,135.26
92,219.84,166.51,207.01,144.81,137.06,139.48,134.52
93,220.76,168.94,216.92,145.96,136.30,137.84,135.18
94,217.03,168.18,215.04,144.83,136.57,138.55,136.44
95,221.77,168.37,210.45,144.74,137.31,139.13,136.45
96,215.84,167.64,213.57,143.53,136.73,140.08,134.98
97,221.68,167.99,214.95,145.18,136.24,139.06,136.30
98,218.08,167.68,208.39,148.60,138.27,136.67,137.28
99,216.02,166.63,211.35,142.35,136.50,137.70,136.62
100,214.06,170.47,215.85,145.55,135.72,137.66,135.49
AVG,218.24,168.01,213.02,145.33,137.35,137.56,135.80
MAX,226.57,171.35,223.74,149.23,139.46,140.20,138.05
