,NoControl,MinimumHeadway(Baseline_1),QuadraticEberlein(Baseline_2),He(Baseline_3),AtStationControl,InterStationControl,JointControl
1,0.724,0.800,0.724,0.838,0.848,0.842,0.848
2,0.734,0.795,0.744,0.838,0.853,0.841,0.852
3,0.718,0.805,0.737,0.848,0.847,0.837,0.853
4,0.728,0.804,0.735,0.843,0.849,0.845,0.848
5,0.716,0.798,0.730,0.839,0.847,0.842,0.850
6,0.728,0.802,0.726,0.837,0.845,0.845,0.850
7,0.721,0.805,0.733,0.838,0.850,0.847,0.849
8,0.730,0.799,0.731,0.834,0.846,0.843,0.853
9,0.715,0.803,0.732,0.842,0.850,0.842,0.849
10,0.705,0.806,0.732,0.838,0.848,0.847,0.850
11,0.723,0.801,0.720,0.840,0.852,0.846,0.850
12,0.721,0.797,0.734,0.842,0.848,0.844,0.851
13,0.705,0.803,0.733,0.842,0.847,0.844,0.850
14,0.721,0.803,0.727,0.839,0.847,0.845,0.855
15,0.723,0.804,0.741,0.842,0.846,0.846,0.850
16,0.714,0.798,0.736,0.842,0.849,0.845,0.852
17,0.721,0.802,0.734,0.838,0.849,0.845,0.852
18,0.721,0.800,0.722,0.846,0.850,0.840,0.850
19,0.707,0.793,0.741,0.844,0.849,0.844,0.850
20,0.721,0.797,0.742,0.844,0.848,0.846,0.851
21,0.730,0.800,0.740,0.842,0.849,0.844,0.853
22,0.708,0.799,0.729,0.840,0.850,0.843,0.849
23,0.718,0.802,0.725,0.842,0.850,0.840,0.853
24,0.716,0.804,0.722,0.844,0.849,0.847,0.852
25,0.725,0.800,0.731,0.847,0.846,0.843,0.851
26,0.701,0.804,0.730,0.846,0.849,0.842,0.852
27,0.706,0.804,0.739,0.841,0.846,0.844,0.850
28,0.722,0.799,0.738,0.850,0.846,0.843,0.853
29,0.714,0.800,0.717,0.846,0.848,0.839,0.852
30,0.722,0.802,0.737,0.840,0.851,0.841,0.853
31,0.720,0.807,0.735,0.848,0.847,0.841,0.853
