,AtStationControl,InterStationControl,JointControl,MinimumHeadway(Baseline_1),QuadraticEberlein(Baseline_2),He(Baseline_3)
1,187.5157815,188.4267164,189.7225493,193.4713026,217.5020584,193.4861134
2,187.4155097,187.1749373,188.2461569,193.4922542,209.0004713,196.7996822
3,188.8168041,187.0519712,187.3835262,193.0270385,207.6754128,201.1578583
4,189.1288467,187.9114909,187.8840316,193.3375816,211.8298305,194.5033457
5,187.2219621,186.7617429,188.3966193,192.2917243,223.3749792,195.9272667
6,188.7411603,186.3783081,187.2342107,191.8204738,206.9099886,196.0579178
7,190.7912295,186.9746271,187.3618684,190.4631973,216.9583275,196.2917488
8,189.9780678,188.5887724,186.8906373,191.5017749,209.1387331,199.0438555
9,187.1539108,190.0727068,187.5678943,195.1716583,215.8251261,198.6379762
10,188.0660581,187.2608062,185.7827012,191.2446086,218.2675191,194.0246852
11,188.4574468,188.142845,188.6690405,194.9421894,210.5670353,194.9527668
12,186.877191,187.5445984,188.8092759,194.4579777,219.2651877,195.4829578
13,188.5793127,188.1017868,187.1885292,192.9106312,214.980621,196.4766795
14,188.1433732,186.0743027,187.6721459,193.1885757,211.2045378,195.5893061
15,185.9435092,188.0470913,186.5858435,191.6483942,212.8916589,194.3572064
16,189.0056568,187.2745698,188.4478336,191.4421089,204.2331692,194.3344998
17,189.8728086,187.0289782,186.7846786,194.1925445,208.7356351,199.7311977
18,188.4125437,187.4672378,187.2600112,191.7145594,212.8189946,194.5747076
19,190.0208991,188.7745944,186.7539855,194.2928049,211.3168745,198.7361653
20,187.3159587,187.694887,185.5656035,193.8914971,207.7919942,196.685279
21,188.3122026,188.0692365,186.2727195,192.6478287,216.1038943,193.0473956
22,189.2950485,186.1001526,186.266276,194.1319052,218.1294654,193.8969726
23,189.2660349,187.643882,188.636913,193.4991054,220.276495,198.5270601
24,189.8065082,187.4533785,187.4900161,191.8430642,206.6907787,192.2557526
25,188.178891,186.1284685,186.0486864,193.924061,215.3798378,195.0328842
26,188.8167155,187.669345,186.455753,194.307712,218.9010821,197.2031517
27,188.0653677,187.1860907,187.4741208,193.6101098,214.1603518,192.676298
28,189.9149408,187.814821,188.911907,194.0817473,202.8767708,194.6112611
29,188.7959683,189.3798283,188.2549454,193.5604231,212.1870318,198.2398821
30,188.9346316,186.6077049,188.3554033,194.5527229,212.0528488,199.1412036
31,186.5657825,189.3019017,188.4347789,192.7130452,205.1788153,193.294675
32,187.7654851,189.8052908,187.7155327,192.4693866,212.3237747,195.6355207
33,187.8175815,187.5517367,186.6295446,193.4354281,219.0902251,197.1028635
34,188.3937343,186.4363984,188.5141317,192.5960908,214.2703902,195.3267172
35,187.9771048,187.8904667,187.249753,191.694966,212.7272394,196.4141445
36,190.0789187,187.9279881,187.9188033,192.0563914,211.1225584,196.1824826
37,189.4281881,185.5640335,187.0406315,194.537389,215.3282332,195.502654
38,186.525703,187.7122603,188.6694294,194.8309106,207.2136557,197.928945
39,189.390108,185.8078175,185.4581096,192.274312,205.3639459,194.0993012
40,191.0134918,187.1656153,187.3060581,193.8815596,211.1068951,194.8980091
41,187.2890875,187.440239,187.7655439,193.8267874,218.8092518,194.8813447
42,190.5293725,185.2991359,188.4407438,195.0216378,216.6618749,193.3240954
43,186.9195592,185.506913,187.4913056,194.8179852,213.9614455,192.2429945
44,188.3574247,184.7628015,187.5156224,195.5531591,222.5506009,191.6655911
45,189.3283202,185.9047352,186.1829974,192.0647244,208.2130286,199.4769614
46,187.075045,187.8605709,188.9361666,194.1865782,206.6262329,196.6943742
47,189.701283,186.3980091,188.8079749,195.3997191,202.6273355,192.6939039
48,187.3773189,188.0880796,186.2017218,196.2952162,206.7304319,198.9715264
49,189.1480326,188.7710681,187.437461,194.7630221,215.8948479,195.6466919
50,187.2570587,187.1207475,186.9034062,193.1214258,215.1075514,197.6005669
51,187.9707321,187.8009554,188.8281557,192.2064368,218.6806818,196.5917829
52,187.6075971,187.7164764,187.3789278,192.347863,217.0068612,196.9326626
53,187.6621426,186.9035638,187.6790001,194.527209,213.4869926,196.1872681
54,188.1748098,189.4768246,186.4412073,192.7813846,212.4372132,198.6819942
55,187.6394695,186.9136833,188.4025464,193.756669,211.2649147,194.724208
56,188.7700737,188.2100778,186.7843855,193.4838059,217.6102712,198.3835079
57,189.5373151,186.7624885,187.145424,193.0708502,208.8864878,196.2253319
58,188.2121778,186.2995879,187.8854319,192.9132444,225.3507257,200.4250961
59,188.6981639,186.8496917,186.0578157,192.823307,212.121047,199.3030574
60,188.9873361,187.7614996,187.3801928,195.7383991,217.9427761,195.9913197
61,187.3342332,187.5854253,187.7711359,195.0658572,214.8003765,195.7368685
62,188.005287,189.4216102,187.874391,195.1225756,214.6490439,194.0674361
63,187.7551434,186.3863399,187.9817601,193.4064633,211.8621813,196.628758
64,188.473561,187.617294,188.5890299,191.5678238,207.9114711,195.8127792
65,187.7515028,188.5620939,187.0761428,191.9663955,212.5489793,194.7798574
66,189.0081497,188.1224134,186.7385197,196.20933,199.660835,194.2100555
67,188.7214945,188.366903,187.5128701,192.5331471,221.0925367,195.3823765
68,189.0160718,187.2497328,187.9604326,195.153976,205.2794613,192.9580903
69,188.5187839,187.165779,187.1824738,197.0843252,210.3682746,194.255821
70,188.170821,187.6279517,186.7475124,193.78625,211.7205335,196.7284679
