,AtStationControl,InterStationControl,JointControl,MinimumHeadway(Baseline_1),QuadraticEberlein(Baseline_2),He(Baseline_3)
1,0.788149146,0.783767108,0.788161732,0.773520047,0.733936022,0.791811606
2,0.787747577,0.785649099,0.789524159,0.769095946,0.744268567,0.784532354
3,0.788620159,0.787056662,0.782507108,0.773605696,0.752133437,0.771693041
4,0.789743877,0.785886081,0.783687844,0.770430167,0.750724718,0.791628804
5,0.789066907,0.783992583,0.785346468,0.768896293,0.716186991,0.786841888
6,0.786785275,0.783640128,0.786737536,0.771317502,0.757898533,0.790044425
7,0.790385643,0.783435147,0.785166313,0.775949152,0.733507548,0.78468541
8,0.790145934,0.785704251,0.78347033,0.773588687,0.739521457,0.782759102
9,0.787798111,0.788576252,0.786997649,0.766602502,0.728402546,0.786283137
10,0.7880485,0.785079979,0.788715214,0.775877255,0.738234885,0.790671405
11,0.789928337,0.788788591,0.788930634,0.772737537,0.751692248,0.785108025
12,0.785776187,0.782194361,0.788590887,0.767761262,0.735733222,0.784989634
13,0.789112802,0.783053324,0.785370225,0.767528403,0.747151793,0.791236471
14,0.791716838,0.786719524,0.785357644,0.777280233,0.747820498,0.789990815
15,0.785324052,0.786509884,0.783606834,0.765883959,0.733761225,0.792231984
16,0.789082093,0.781500695,0.783106161,0.771986138,0.750428722,0.790868189
17,0.789403495,0.784089956,0.786255244,0.771549312,0.749902469,0.782852076
18,0.792403922,0.780627343,0.788526434,0.775693036,0.744173172,0.77315908
19,0.790389815,0.789608345,0.782370701,0.765317594,0.745996121,0.790762214
20,0.786127969,0.785338983,0.785795358,0.774353345,0.746780398,0.780972165
21,0.786537923,0.785543472,0.785179278,0.769467651,0.74551823,0.7870925
22,0.790001957,0.784599729,0.782467165,0.770290405,0.735370159,0.790775903
23,0.788403678,0.784289911,0.786835012,0.771804764,0.727376542,0.785019726
24,0.793887388,0.782518358,0.786267497,0.770832749,0.756451522,0.789573144
25,0.791125571,0.783840829,0.786755944,0.773335583,0.737667785,0.793711529
26,0.788391238,0.784938884,0.78401544,0.774234766,0.741370699,0.7929087
27,0.789535567,0.787478754,0.789813079,0.775809631,0.739532054,0.794022862
28,0.787647175,0.783317918,0.786099695,0.772180494,0.760819855,0.789818743
29,0.79217274,0.785068895,0.784701597,0.776181453,0.734670662,0.783911497
30,0.792310257,0.785863904,0.787466017,0.776105389,0.742365507,0.783545217
31,0.786489276,0.783944163,0.785183935,0.767594807,0.744045967,0.793012689
32,0.78633774,0.789638445,0.789547547,0.771112932,0.745435403,0.787488272
33,0.791646677,0.783786819,0.782505182,0.776845923,0.739096638,0.786266333
34,0.785874126,0.778792905,0.792584692,0.772630139,0.749204488,0.787062145
35,0.786190357,0.782157086,0.785470351,0.770179847,0.74691358,0.791032624
36,0.790191648,0.788075927,0.78871971,0.772268764,0.75246969,0.791523641
37,0.792279309,0.783055415,0.785241356,0.773473518,0.742704537,0.789678459
38,0.79093031,0.782670093,0.784928291,0.775141403,0.75208133,0.78669655
39,0.791412417,0.778298445,0.784385776,0.773022307,0.754346309,0.794521311
40,0.789184387,0.786060265,0.789088017,0.776776607,0.748127677,0.787382334
41,0.789964637,0.785841107,0.784670612,0.77342969,0.733900937,0.789020452
42,0.788479199,0.782192477,0.788401032,0.771277648,0.738013651,0.793072898
43,0.785993304,0.781770056,0.788303597,0.777660785,0.747541168,0.793571429
44,0.791740116,0.775460856,0.784883394,0.77205447,0.742400679,0.788066759
45,0.78847805,0.779472371,0.78134651,0.77550327,0.752078294,0.785775564
46,0.789125788,0.784402366,0.78355451,0.776294061,0.757005156,0.789831921
47,0.791261043,0.780224669,0.786836602,0.768792135,0.756826976,0.790532544
48,0.788382439,0.788257914,0.784373142,0.76891369,0.748416014,0.786934981
49,0.790426332,0.779254275,0.78429147,0.773766886,0.74200533,0.781303625
50,0.791504276,0.783364807,0.789185353,0.772765575,0.734767723,0.789014557
51,0.786598832,0.78634218,0.786051345,0.770818526,0.742693473,0.784890411
52,0.793423695,0.787033122,0.785296858,0.777702397,0.74326435,0.787427396
53,0.784571652,0.786341048,0.788472427,0.77350379,0.744785826,0.790833264
54,0.789349112,0.782322905,0.786460545,0.776204285,0.752695604,0.785386233
55,0.785248608,0.78266433,0.784284032,0.770888733,0.748981838,0.791383905
56,0.788935288,0.78128804,0.790085645,0.776038411,0.740638936,0.786691353
57,0.788627242,0.785779957,0.787763341,0.771367521,0.748968325,0.789268858
58,0.788156611,0.776275683,0.785364343,0.767853663,0.71905524,0.783623144
59,0.788639951,0.782146292,0.785982867,0.771438974,0.744171965,0.784729971
60,0.792026224,0.784158584,0.788174286,0.770932607,0.729757535,0.788256377
61,0.789702199,0.783452875,0.783729326,0.772087468,0.740700157,0.782209102
62,0.789946291,0.789602361,0.785901372,0.776133288,0.744678489,0.792213962
63,0.786434184,0.782183244,0.7875057,0.77316732,0.7416212,0.788496805
64,0.787623693,0.780513919,0.788518789,0.773706957,0.757500558,0.785478456
65,0.788240557,0.787090367,0.785816639,0.773071402,0.747979447,0.79075931
66,0.788528552,0.787955466,0.785653842,0.772780027,0.764480256,0.786272398
67,0.79049676,0.784628474,0.785564238,0.771903323,0.726618705,0.786526491
68,0.791291376,0.78640531,0.786381312,0.770442906,0.748357896,0.789084517
69,0.789738402,0.77829792,0.784022672,0.771895351,0.747789195,0.793488192
70,0.786397538,0.784875993,0.78810493,0.776626758,0.740375341,0.788357716
71,0.788348864,0.790240865,0.788014813,0.774239865,0.755534516,0.791492095
72,0.789825745,0.782829566,0.789038553,0.772471436,0.737185202,0.787439614
73,0.788823694,0.786409132,0.788875021,0.773265029,0.739010382,0.788444027
74,0.795018784,0.786136486,0.787753013,0.768332196,0.735015861,0.788443117
75,0.788012267,0.781218303,0.785205217,0.773500524,0.747495711,0.788884568
76,0.785228188,0.786989546,0.784411465,0.771097346,0.763076413,0.786253377
77,0.786066308,0.786161218,0.786623845,0.771242933,0.761346111,0.785595106
78,0.791715579,0.78647289,0.788778132,0.770817012,0.747175691,0.789460533
79,0.785584832,0.782804285,0.786473187,0.7688139,0.728648918,0.791684061
80,0.787518449,0.781320415,0.783228382,0.769680612,0.732335596,0.784133612
81,0.789761984,0.779523126,0.786893095,0.776893439,0.718114322,0.785676875
82,0.787804878,0.782912489,0.784906193,0.772522014,0.743975904,0.786819118
83,0.789023879,0.783853293,0.782317896,0.7750789,0.739817747,0.78568043
84,0.787157287,0.788459909,0.781686396,0.777191696,0.731808443,0.788310426
85,0.789017663,0.784468827,0.788117637,0.774443855,0.733366753,0.786544666
86,0.791319144,0.784127975,0.788737125,0.770210612,0.767047044,0.788890118
87,0.788972014,0.785095173,0.786430745,0.776074661,0.752967131,0.782879205
88,0.788694897,0.778134595,0.788359046,0.773847923,0.748002561,0.784100047
89,0.790981761,0.784803012,0.786494091,0.77506697,0.726363334,0.790317214
90,0.787801814,0.78522766,0.783986256,0.772137985,0.74014063,0.790008891
91,0.785075625,0.784824304,0.790626492,0.772005895,0.755791236,0.790234429
92,0.787965536,0.787149275,0.786950883,0.771766624,0.764370546,0.791797844
93,0.787833324,0.780439122,0.787109977,0.774670868,0.721860387,0.789814891
94,0.794966358,0.780991618,0.786715145,0.773387369,0.731104733,0.782900872
95,0.789403598,0.781325606,0.78389568,0.776544944,0.730297336,0.782038178
96,0.794885366,0.781898442,0.784314279,0.776412216,0.743014124,0.785873254
97,0.790806073,0.783700391,0.784946538,0.771201611,0.746091342,0.795439469
98,0.791026958,0.782340177,0.787165775,0.772601489,0.741426479,0.787286064
99,0.786446723,0.782816498,0.788012849,0.777105367,0.749013725,0.785664247
100,0.786903722,0.785975144,0.785840807,0.774221771,0.727461169,0.784163579
AVG,0.789076296,0.784034068,0.786223693,0.772741322,0.743307528,0.787769385
Worst,0.784571652,0.775460856,0.78134651,0.765317594,0.716186991,0.771693041
