AVG,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
10,0.070,0.080,0.090,0.093,0.096,0.098,0.101,0.104,0.106,0.107,0.108,0.109,0.112,0.113,0.115,0.116,0.118,0.119,0.121,0.122
20,0.140,0.175,0.182,0.188,0.192,0.198,0.199,0.199,0.202,0.205,0.205,0.206,0.208,0.208,0.210,0.210,0.211,0.212,0.214,0.215
30,0.167,0.203,0.219,0.227,0.231,0.238,0.240,0.240,0.240,0.243,0.243,0.246,0.246,0.249,0.248,0.249,0.249,0.250,0.252,0.253
40,0.183,0.229,0.240,0.249,0.256,0.257,0.260,0.261,0.263,0.264,0.265,0.268,0.267,0.267,0.268,0.270,0.271,0.272,0.273,0.272
50,0.200,0.238,0.257,0.262,0.264,0.268,0.273,0.273,0.274,0.277,0.278,0.280,0.280,0.280,0.282,0.284,0.284,0.283,0.285,0.285
60,0.207,0.244,0.265,0.270,0.276,0.278,0.279,0.282,0.286,0.286,0.287,0.289,0.288,0.290,0.291,0.292,0.293,0.294,0.291,0.293
70,0.206,0.261,0.268,0.275,0.281,0.283,0.286,0.287,0.290,0.290,0.292,0.293,0.295,0.294,0.295,0.296,0.296,0.296,0.298,0.298
80,0.231,0.260,0.271,0.281,0.282,0.289,0.293,0.295,0.294,0.296,0.297,0.297,0.299,0.300,0.301,0.301,0.301,0.303,0.303,0.303
90,0.228,0.273,0.280,0.291,0.292,0.297,0.298,0.297,0.299,0.300,0.301,0.303,0.304,0.305,0.306,0.306,0.305,0.306,0.306,0.307
100,0.266,0.269,0.286,0.292,0.297,0.299,0.301,0.302,0.302,0.304,0.305,0.305,0.306,0.307,0.307,0.308,0.310,0.309,0.310,0.311
