,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,
0,218.49448414564606,212.73922623994548,205.91872888063526,197.55360064722296,189.70973239213797,182.41861183225893,174.83077125691375,166.39284389381982,157.56932725526963,150.16882670060014,145.3035749573859,141.31040398537922,137.55030555613888,135.77616341510466,135.7018321997528,135.81269085555692,135.7672561382193,135.75853257659756,135.66685060408648,135.8242727826332,135.83944696100832,135.83209513652852,135.76094740872483,135.72395021211943,135.79228661883803,
-5,212.36242996699278,205.22872300800253,197.68791946819084,190.0911887544254,182.26214760613232,174.2437244263856,165.18464452121313,155.8978998870452,149.01894066525162,144.4008973473077,140.50302655727535,137.49071568997743,135.9831125200341,135.7719377949627,135.8652051149479,135.841576403682,135.77819215576528,135.63720638509898,135.77515303334815,135.58848957692447,135.47053118965476,135.5209157052702,135.51220086848718,135.44909123850465,135.5328989387491,
-10,204.706826314235,197.56297353682407,189.97158243247057,182.35759763341645,174.09191683166333,164.71658209607435,155.1804583515785,148.4821617560432,143.75391618826964,140.1896266348337,137.69826226039922,136.23449692356294,135.90656183768203,135.83040670065347,135.945035545192,135.69890672959417,135.78091849629882,135.74266519610504,135.66097867290497,135.69216162055483,135.5040491974063,135.29227431044077,135.3313213534124,135.35765200265345,135.36785793032314,
-15,196.38542705197008,189.28243571163944,182.0046012677783,173.94341135874075,164.50564985872225,155.6335135755842,148.64068144497566,144.15444168055237,140.84454030489363,138.2014342656531,136.82013361894556,136.30129732011525,136.2526967328179,136.2837058574462,136.3182568998109,136.0966533477427,136.0359146887551,135.8631331614865,135.85233258780082,135.66910364893636,135.6132500201244,135.57124716523606,135.5762728401174,135.5828143990303,135.50560115607652,
-20,187.88463214237782,181.19899471782017,174.04127225488213,165.82375125060983,156.7464385732541,150.11439825269343,145.43228367577086,141.90367940828583,138.98848997820346,137.60686521089278,136.8081558006205,136.68884825932645,136.44459461215752,136.12866875329905,136.50937534064767,136.33224870862597,136.16757139977625,135.93052273009096,136.06502106337797,135.89270266449773,135.92152038010124,135.96143569884865,135.81467949654623,135.800123354395,135.73491697295285,
-25,180.3237661741943,175.20869534039764,168.10337255989162,159.51310391505157,152.4115784629565,147.1348136953824,143.50260323957173,140.2446683038139,138.54220320750667,137.34820147408385,136.9737912549647,136.77318678880175,136.69388745517682,136.5951516902301,136.56859263836913,136.3904256003865,136.40514283293476,136.38709971012037,136.3414802307036,136.35256205050007,136.02933347223225,136.02817579902242,136.01246225500083,136.0346475666606,136.0697107841138,
-30,176.20644213220433,170.2511552037202,163.5812250761933,156.76595317769755,150.84393810783308,146.21164555628664,142.80089934188462,140.33665124882208,138.36101763022717,136.95983079216762,136.8038901986204,136.89512163340606,136.60597987364696,136.5548975774947,136.746422996434,136.6216386815238,136.1929113357069,136.43713414230314,136.49077902444785,136.19265887373334,136.15997162918558,136.1064861725884,136.18321824498133,136.0153546510783,135.94237841671043,
-35,172.0278413565437,167.1242617538548,160.89952912603533,155.18421342586666,150.24745587119867,146.11762330475884,142.81383416609071,140.45359892125958,138.34040945455413,137.34802417872987,136.95739601445567,136.92770591609454,136.8376770824734,136.69099333080902,136.53599931495185,136.5643987580562,136.35858699948886,136.30413367784095,136.47831568493513,136.4043026260104,136.3202221374091,136.19577746246802,136.06719437975278,135.9047103133404,135.98862564002883,
-40,169.61672522219604,164.96281168553134,159.59466404065657,154.59196109573685,150.27086877695575,145.9305407501808,142.65545661248146,140.27503965252126,138.3718355543072,137.23080230820761,136.91544776835295,136.71629748304994,136.84676236067142,136.52322136272727,136.67330592708967,136.55196819468662,136.46316615257874,136.3268611846468,136.28457619776168,136.23222644087974,136.1512026175376,136.09060658595496,136.0695987229113,135.9153842935093,135.91917279161143,
-45,167.77298458528927,163.9114491080613,159.54116292358032,154.59558561306122,150.335200242371,146.33738192861932,142.92766549554517,140.33708379785818,138.34312805313678,137.2947343818934,136.9571314878327,136.9543283900132,136.6013388436938,136.6731474353369,136.53892041833137,136.31631663443287,136.47266600233704,136.37529934210957,136.24859758516774,136.34116518595388,136.36299450158603,136.1890618437181,136.0835214471953,136.19121806838112,135.86471537190246,
-50,166.95084981439197,163.96177808747808,159.6505382014728,154.8091366668469,150.2383710687602,146.31139823485873,142.98941685058435,140.18996524150555,138.39647043791658,137.152907786311,137.12795235060045,136.82641220097722,136.7306261623913,136.55892080229526,136.50314196792468,136.6366987488002,136.38133055255588,136.2905671020931,136.4400738602907,136.31672316707153,136.15536860941495,136.29725809380432,136.0692863545015,136.02194057730233,136.00264006303465,
-55,167.38175358334465,164.07455625838315,159.58703811003713,155.170938142456,150.66777837553994,146.45616005316776,142.86740820196715,140.2211378077696,138.1778540228506,137.33046433575487,136.82341446008328,136.67940715006492,136.7937830961411,136.71757052738639,136.56675340212414,136.31387748537682,136.37102451067366,136.06547272381135,136.25734851497722,136.16965064774965,136.2852131071416,136.08218691635417,136.04470808180244,136.0245494008215,135.7999110722224,
-60,167.74860410184206,164.2722003187695,159.80312764306956,155.47911432806987,150.26964170695857,146.65141827096076,143.1563669923257,140.21633743139125,138.30429389569233,137.29866266029737,136.87529663389682,136.7140730139744,136.59957205440003,136.5803186392052,136.50012091693628,136.42800240538966,136.43354618765963,136.41229997293658,136.36324650031878,136.17596055589075,136.20307624174572,136.13901435524153,136.0369211916448,136.1121509496249,136.09446260125569,
