,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120
0,0.717094723,0.726987631,0.740769422,0.754622487,0.767761462,0.780200377,0.792380206,0.805111174,0.818945854,0.829315718,0.836792111,0.841775824,0.846901282,0.850068846,0.850155847,0.850083914,0.849702705,0.849523687,0.849140174,0.849588167,0.849702382,0.849751927,0.849458546,0.849595089,0.849265666
-5,0.728877375,0.741819842,0.755090003,0.768105566,0.779907306,0.793352744,0.806914873,0.820927791,0.830338399,0.837321908,0.84187359,0.846164603,0.849288248,0.849386502,0.849266696,0.849105388,0.849174248,0.849070428,0.849151261,0.849331729,0.849122513,0.84927183,0.849328612,0.84922409,0.849396338
-10,0.743561582,0.754843288,0.767387751,0.781265886,0.794919543,0.808164054,0.821814828,0.831456696,0.837456436,0.841506464,0.845374706,0.848144661,0.848418022,0.848658703,0.848719603,0.848646319,0.848924653,0.848482529,0.848934029,0.848641943,0.848887902,0.848845351,0.849134596,0.848907957,0.848936732
-15,0.757932502,0.769863348,0.782655656,0.79367816,0.808013703,0.820927755,0.830935295,0.836856081,0.840602762,0.844439033,0.846971527,0.84784118,0.847872699,0.847755447,0.847999669,0.84825548,0.84814495,0.848513722,0.848517878,0.848595655,0.84859349,0.848470404,0.848728802,0.848911867,0.848664456
-20,0.772458521,0.782453444,0.793872943,0.806813808,0.81948345,0.828764125,0.834939954,0.839214366,0.843085317,0.845608828,0.847484108,0.847591553,0.847583336,0.848232846,0.848005222,0.848013997,0.848138973,0.848259449,0.848371224,0.848384591,0.848122859,0.848542977,0.848683697,0.848738388,0.848642233
-25,0.784824664,0.792642975,0.803557422,0.816258321,0.825256205,0.832598041,0.837108702,0.841867759,0.844433717,0.846301678,0.847566781,0.847800149,0.847634525,0.847826413,0.848048075,0.847934145,0.848132652,0.848334052,0.848268541,0.84813537,0.848284324,0.848550238,0.848516799,0.848862899,0.848387141
-30,0.791113,0.801031622,0.810114122,0.819695755,0.827369885,0.833539587,0.838567168,0.841618137,0.844695832,0.846694605,0.847664536,0.847541288,0.848175079,0.848011979,0.848194758,0.848120542,0.848406868,0.848492919,0.848530331,0.84873891,0.848408721,0.848667441,0.848784541,0.84895019,0.849107088
-35,0.797779257,0.804845135,0.813951842,0.822117123,0.828067797,0.83373286,0.838865511,0.841404828,0.844731845,0.846861725,0.847614391,0.847999074,0.848335018,0.848027357,0.84844361,0.848126882,0.848461484,0.848554946,0.848771702,0.848323652,0.848583226,0.849080597,0.848921405,0.849146133,0.849225208
-40,0.801641374,0.808948989,0.815674578,0.822888289,0.828067602,0.834041611,0.838631418,0.841986557,0.844997492,0.846989707,0.848125959,0.848468787,0.848218381,0.848521201,0.848233823,0.848381702,0.848560308,0.848560271,0.848975811,0.849102103,0.848695548,0.848996638,0.848983997,0.849080318,0.849086327
-45,0.804840521,0.80960831,0.81580774,0.822383658,0.828228804,0.833658436,0.838259647,0.841774729,0.845028742,0.847010455,0.84785951,0.848109709,0.848549799,0.848475247,0.848383531,0.848386009,0.84875367,0.848509888,0.848544637,0.848373322,0.84882491,0.848687408,0.848746269,0.848617772,0.848733714
-50,0.805891407,0.810016237,0.815632596,0.822197536,0.828791527,0.833529965,0.838177848,0.842032656,0.844913755,0.847105275,0.847832601,0.848117236,0.848246473,0.848710028,0.848676928,0.848156564,0.848654456,0.848596351,0.848735899,0.84872882,0.8487821,0.84884347,0.849031843,0.849151438,0.849174415
-55,0.804943458,0.809882303,0.81607008,0.821424163,0.827435635,0.833869559,0.838230355,0.842242438,0.845403519,0.846984428,0.848159863,0.848476754,0.847993331,0.848044529,0.848064747,0.848526027,0.848745471,0.848552377,0.848496922,0.84855284,0.848805389,0.848844402,0.849073161,0.848964908,0.849185275
-60,0.804723927,0.809582235,0.815318871,0.821836685,0.82847089,0.832485361,0.838079856,0.842172768,0.844825187,0.846772998,0.848220463,0.847941151,0.84856315,0.848536446,0.848397465,0.848326907,0.848597924,0.848559184,0.84845949,0.848418425,0.848583801,0.848912919,0.849188584,0.849157081,0.849072264
